1-->UDP [目标ip/239.255.255.250, 目标端口=1900, 本地ip=/192.168.75.1, 本地端口=51914, 长度len=215]
2-->UDP [目标ip/239.255.255.250, 目标端口=1900, 本地ip=/192.168.75.1, 本地端口=51914, 长度len=215]
3-->UDP [目标ip/239.255.255.250, 目标端口=1900, 本地ip=/192.168.75.1, 本地端口=51914, 长度len=215]
4-->UDP [目标ip/239.255.255.250, 目标端口=1900, 本地ip=/192.168.75.1, 本地端口=51914, 长度len=215]
5-->UDP [目标ip/224.0.0.251, 目标端口=5353, 本地ip=/192.168.75.1, 本地端口=5353, 长度len=78]
6-->UDP [目标ip/ff02:0:0:0:0:0:0:fb, 目标端口=5353, 本地ip=/fe80:0:0:0:6c1a:8c8b:c4d2:6e5a, 本地端口=5353, 长度len=98]
7-->UDP [目标ip/224.0.0.251, 目标端口=5353, 本地ip=/192.168.75.1, 本地端口=5353, 长度len=78]
8-->UDP [目标ip/ff02:0:0:0:0:0:0:fb, 目标端口=5353, 本地ip=/fe80:0:0:0:6c1a:8c8b:c4d2:6e5a, 本地端口=5353, 长度len=98]
9-->UDP [目标ip/224.0.0.251, 目标端口=5353, 本地ip=/192.168.75.1, 本地端口=5353, 长度len=78]
10-->UDP [目标ip/ff02:0:0:0:0:0:0:fb, 目标端口=5353, 本地ip=/fe80:0:0:0:6c1a:8c8b:c4d2:6e5a, 本地端口=5353, 长度len=98]
11-->UDP [目标ip/224.0.0.251, 目标端口=5353, 本地ip=/192.168.75.1, 本地端口=5353, 长度len=80]
12-->UDP [目标ip/ff02:0:0:0:0:0:0:fb, 目标端口=5353, 本地ip=/fe80:0:0:0:6c1a:8c8b:c4d2:6e5a, 本地端口=5353, 长度len=100]
13-->UDP [目标ip/224.0.0.251, 目标端口=5353, 本地ip=/192.168.75.1, 本地端口=5353, 长度len=78]
14-->UDP [目标ip/ff02:0:0:0:0:0:0:fb, 目标端口=5353, 本地ip=/fe80:0:0:0:6c1a:8c8b:c4d2:6e5a, 本地端口=5353, 长度len=98]
15-->UDP [目标ip/224.0.0.251, 目标端口=5353, 本地ip=/192.168.75.1, 本地端口=5353, 长度len=78]
16-->UDP [目标ip/ff02:0:0:0:0:0:0:fb, 目标端口=5353, 本地ip=/fe80:0:0:0:6c1a:8c8b:c4d2:6e5a, 本地端口=5353, 长度len=98]
17-->UDP [目标ip/224.0.0.251, 目标端口=5353, 本地ip=/192.168.75.1, 本地端口=5353, 长度len=80]
18-->UDP [目标ip/224.0.0.251, 目标端口=5353, 本地ip=/192.168.75.1, 本地端口=5353, 长度len=78]
19-->UDP [目标ip/ff02:0:0:0:0:0:0:fb, 目标端口=5353, 本地ip=/fe80:0:0:0:6c1a:8c8b:c4d2:6e5a, 本地端口=5353, 长度len=98]
20-->UDP [目标ip/224.0.0.251, 目标端口=5353, 本地ip=/192.168.75.1, 本地端口=5353, 长度len=78]
21-->UDP [目标ip/ff02:0:0:0:0:0:0:fb, 目标端口=5353, 本地ip=/fe80:0:0:0:6c1a:8c8b:c4d2:6e5a, 本地端口=5353, 长度len=98]
22-->UDP [目标ip/ff02:0:0:0:0:0:1:3, 目标端口=5355, 本地ip=/fe80:0:0:0:6c1a:8c8b:c4d2:6e5a, 本地端口=61018, 长度len=92]
23-->UDP [目标ip/ff02:0:0:0:0:0:0:fb, 目标端口=5353, 本地ip=/fe80:0:0:0:6c1a:8c8b:c4d2:6e5a, 本地端口=5353, 长度len=100]
24-->UDP [目标ip/224.0.0.252, 目标端口=5355, 本地ip=/192.168.75.1, 本地端口=61018, 长度len=72]
25-->UDP [目标ip/ff02:0:0:0:0:0:1:3, 目标端口=5355, 本地ip=/fe80:0:0:0:6c1a:8c8b:c4d2:6e5a, 本地端口=53858, 长度len=92]
26-->UDP [目标ip/224.0.0.251, 目标端口=5353, 本地ip=/192.168.75.1, 本地端口=5353, 长度len=78]
27-->UDP [目标ip/224.0.0.252, 目标端口=5355, 本地ip=/192.168.75.1, 本地端口=53858, 长度len=72]
28-->UDP [目标ip/ff02:0:0:0:0:0:0:fb, 目标端口=5353, 本地ip=/fe80:0:0:0:6c1a:8c8b:c4d2:6e5a, 本地端口=5353, 长度len=98]
29-->UDP [目标ip/224.0.0.251, 目标端口=5353, 本地ip=/192.168.75.1, 本地端口=5353, 长度len=80]
30-->UDP [目标ip/ff02:0:0:0:0:0:0:fb, 目标端口=5353, 本地ip=/fe80:0:0:0:6c1a:8c8b:c4d2:6e5a, 本地端口=5353, 长度len=100]
31-->UDP [目标ip/ff02:0:0:0:0:0:1:3, 目标端口=5355, 本地ip=/fe80:0:0:0:6c1a:8c8b:c4d2:6e5a, 本地端口=56537, 长度len=92]
32-->UDP [目标ip/224.0.0.252, 目标端口=5355, 本地ip=/192.168.75.1, 本地端口=56537, 长度len=72]
33-->UDP [目标ip/224.0.0.251, 目标端口=5353, 本地ip=/192.168.75.1, 本地端口=5353, 长度len=80]
34-->UDP [目标ip/ff02:0:0:0:0:0:1:3, 目标端口=5355, 本地ip=/fe80:0:0:0:6c1a:8c8b:c4d2:6e5a, 本地端口=55666, 长度len=92]
35-->UDP [目标ip/224.0.0.252, 目标端口=5355, 本地ip=/192.168.75.1, 本地端口=55666, 长度len=72]
36-->UDP [目标ip/ff02:0:0:0:0:0:0:fb, 目标端口=5353, 本地ip=/fe80:0:0:0:6c1a:8c8b:c4d2:6e5a, 本地端口=5353, 长度len=100]
37-->UDP [目标ip/ff02:0:0:0:0:0:1:3, 目标端口=5355, 本地ip=/fe80:0:0:0:6c1a:8c8b:c4d2:6e5a, 本地端口=64091, 长度len=94]
38-->UDP [目标ip/224.0.0.252, 目标端口=5355, 本地ip=/192.168.75.1, 本地端口=64091, 长度len=74]
39-->UDP [目标ip/ff02:0:0:0:0:0:1:3, 目标端口=5355, 本地ip=/fe80:0:0:0:6c1a:8c8b:c4d2:6e5a, 本地端口=63049, 长度len=94]
40-->UDP [目标ip/224.0.0.252, 目标端口=5355, 本地ip=/192.168.75.1, 本地端口=63049, 长度len=74]
41-->ArpPacket [目标ip/192.168.75.2, 目标网卡地址=00:00:00:00:00:00, 本地ip=/192.168.75.1, 本地网卡地址=00:50:56:c0:00:08, 长度len=42]
42-->UDP [目标ip/ff02:0:0:0:0:0:1:3, 目标端口=5355, 本地ip=/fe80:0:0:0:6c1a:8c8b:c4d2:6e5a, 本地端口=61018, 长度len=92]
43-->UDP [目标ip/224.0.0.252, 目标端口=5355, 本地ip=/192.168.75.1, 本地端口=61018, 长度len=72]
44-->UDP [目标ip/ff02:0:0:0:0:0:1:3, 目标端口=5355, 本地ip=/fe80:0:0:0:6c1a:8c8b:c4d2:6e5a, 本地端口=53858, 长度len=92]
45-->UDP [目标ip/224.0.0.252, 目标端口=5355, 本地ip=/192.168.75.1, 本地端口=53858, 长度len=72]
46-->UDP [目标ip/ff02:0:0:0:0:0:1:3, 目标端口=5355, 本地ip=/fe80:0:0:0:6c1a:8c8b:c4d2:6e5a, 本地端口=56537, 长度len=92]
47-->UDP [目标ip/224.0.0.252, 目标端口=5355, 本地ip=/192.168.75.1, 本地端口=56537, 长度len=72]
48-->UDP [目标ip/ff02:0:0:0:0:0:1:3, 目标端口=5355, 本地ip=/fe80:0:0:0:6c1a:8c8b:c4d2:6e5a, 本地端口=55666, 长度len=92]
49-->UDP [目标ip/224.0.0.252, 目标端口=5355, 本地ip=/192.168.75.1, 本地端口=55666, 长度len=72]
